Timestamp,Latitude,Longitude,Bearing,Altitude,Speed (km/h),Location Accuracy (m),Accelerometer X,Accelerometer Y,Accelerometer Z
2020/01/28 - 17:50:51,null,null,null,null,null,null,0.0,0.0,0.0
2020/01/28 - 17:50:51,null,null,null,null,null,null,-0.91604614,6.6210785,6.88472
2020/01/28 - 17:50:51,null,null,null,null,null,null,-0.78604126,6.832245,7.307541
2020/01/28 - 17:50:52,null,null,null,null,null,null,-1.6283112,7.331192,6.1875305
2020/01/28 - 17:50:52,null,null,null,null,null,null,-2.8120117,7.8155518,4.296585
2020/01/28 - 17:50:52,null,null,null,null,null,null,-2.0868073,8.104767,3.3410645
2020/01/28 - 17:50:52,null,null,null,null,null,null,1.2160034,8.603241,4.7016907
2020/01/28 - 17:50:53,null,null,null,null,null,null,1.0828857,7.9742737,4.521408
2020/01/28 - 17:50:53,null,null,null,null,null,null,5.476242,6.816208,4.822113
2020/01/28 - 17:50:53,null,null,null,null,null,null,5.945511,6.248062,5.7642365
2020/01/28 - 17:50:53,null,null,null,null,null,null,7.433014,6.4118195,3.9175873
2020/01/28 - 17:50:53,null,null,null,null,null,null,8.3172,4.1811523,3.387268
2020/01/28 - 17:50:54,null,null,null,null,null,null,8.099091,4.2807465,2.580429
2020/01/28 - 17:50:54,null,null,null,null,null,null,7.4466705,6.289963,2.0369415
2020/01/28 - 17:50:54,null,null,null,null,null,null,7.089218,5.781906,1.9193878
2020/01/28 - 17:50:54,null,null,null,null,null,null,6.4514008,4.982727,3.2493744
2020/01/28 - 17:50:54,null,null,null,null,null,null,6.7751007,4.7430725,4.3049774
2020/01/28 - 17:50:55,null,null,null,null,null,null,7.050186,5.5740967,3.2314148
2020/01/28 - 17:50:55,null,null,null,null,null,null,6.511261,6.5466156,3.4480896
2020/01/28 - 17:50:55,null,null,null,null,null,null,6.318527,6.691223,2.4757996
2020/01/28 - 17:50:55,null,null,null,null,null,null,6.6563416,6.579422,2.3055725
2020/01/28 - 17:50:55,null,null,null,null,null,null,6.610855,6.9062195,2.2591248
2020/01/28 - 17:50:55,null,null,null,null,null,null,6.329056,7.1815643,1.7594604
2020/01/28 - 17:50:56,null,null,null,null,null,null,6.227295,7.0709534,1.7886658
2020/01/28 - 17:50:56,null,null,null,null,null,null,6.3441315,7.262726,1.7508392
2020/01/28 - 17:50:56,null,null,null,null,null,null,6.3601837,7.314682,1.6780548
2020/01/28 - 17:50:56,null,null,null,null,null,null,6.3127747,7.324005,1.4525146
